,ID,Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,Community Area,Year,Updated On,Latitude,Longitude,Location,Zip Codes,zip_code
1633,9445030,HW589109,12/30/2013 02:40:00 PM,072XX S CHRISTIANA AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,66,2013,02/10/2018 03:50:01 PM,41.761599484,-87.706401613,"(41.761599484, -87.706401613)",21867.0,60629
1634,9445235,HW589459,12/30/2013 02:30:00 PM,020XX S WENTWORTH AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,34,2013,02/10/2018 03:50:01 PM,41.855118781,-87.631844657,"(41.855118781, -87.631844657)",21194.0,60616
1635,9447177,HX100522,12/30/2013 02:30:00 PM,003XX N ORLEANS ST,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,COMMERCIAL / BUSINESS OFFICE,False,False,8,2013,02/10/2018 03:50:01 PM,41.888676095,-87.636913058,"(41.888676095, -87.636913058)",4446.0,60654
1636,9445096,HW589250,12/30/2013 02:30:00 PM,013XX W GREENLEAF AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1,2013,02/10/2018 03:50:01 PM,42.010363284,-87.664714747,"(42.010363284, -87.664714747)",21853.0,60645
1637,9445284,HW589455,12/30/2013 02:30:00 PM,012XX N WASHTENAW AVE,THEFT,$500 AND UNDER,OTHER,False,False,24,2013,02/10/2018 03:50:01 PM,41.903417753,-87.694429347,"(41.903417753, -87.694429347)",21560.0,60647
1638,9445023,HW589167,12/30/2013 02:30:00 PM,001XX N STATE ST,THEFT,FROM BUILDING,DEPARTMENT STORE,False,False,32,2013,02/10/2018 03:50:01 PM,41.883500187,-87.627876698,"(41.883500187, -87.627876698)",14310.0,60602
1639,9447236,HX100358,12/30/2013 02:30:00 PM,025XX N MARMORA AVE,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,False,False,19,2013,02/10/2018 03:50:01 PM,41.926148664,-87.773363748,"(41.926148664, -87.773363748)",22615.0,60634
1640,9445020,HW589077,12/30/2013 02:30:00 PM,071XX S WENTWORTH AVE,ASSAULT,SIMPLE,APARTMENT,False,False,69,2013,02/10/2018 03:50:01 PM,41.764885191,-87.629756746,"(41.764885191, -87.629756746)",21559.0,60620
1641,9445489,HW589684,12/30/2013 02:30:00 PM,069XX S ADA ST,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,67,2013,02/10/2018 03:50:01 PM,41.768036737,-87.657830822,"(41.768036737, -87.657830822)",22257.0,60636
1642,9458557,HX111666,12/30/2013 02:30:00 PM,017XX W GRAND AVE,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,24,2013,02/10/2018 03:50:01 PM,41.890926267,-87.670750997,"(41.890926267, -87.670750997)",21560.0,60622
1643,9445024,HW589149,12/30/2013 02:30:00 PM,021XX W LAKE ST,THEFT,$500 AND UNDER,STREET,False,False,28,2013,02/10/2018 03:50:01 PM,41.88485984,-87.680042331,"(41.88485984, -87.680042331)",21184.0,60612
1644,9445079,HW589111,12/30/2013 02:28:00 PM,007XX W JACKSON BLVD,THEFT,OVER $500,SMALL RETAIL STORE,True,False,28,2013,02/10/2018 03:50:01 PM,41.877981539,-87.644608125,"(41.877981539, -87.644608125)",4452.0,60661
1645,9444989,HW589044,12/30/2013 02:25:00 PM,109XX S STATE ST,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,49,2013,02/10/2018 03:50:01 PM,41.694963473,-87.623170612,"(41.694963473, -87.623170612)",21861.0,60628
